,observation,action,reward,next_observation,done
8277,"[ 0.   0.   0.   3.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  -0.2  0.1]",5,-1.5,"[ 1.   1.   1.   1.   1.   0.   0.   3.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  -0.1  0. ]",False
8278,"[ 1.   1.   1.   1.   1.   0.   0.   3.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  -0.1  0. ]",3,20,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]",True
8279,"[ 1.   0.   0.   0.   0.   1.   1.   0.   0.   0.   1.   1.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  -0.5]",2,-3.0615528128088303,"[ 0.   1.   1.   0.   0.   0.   1.   1.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  -0.1 -0.4]",False
8280,"[ 0.   1.   1.   0.   0.   0.   1.   1.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  -0.1 -0.4]",1,-2.58113883008419,"[ 0.   0.   1.   1.   0.   0.   0.   1.   1.   0.   1.   0.   0.   0.
  1.   0.   0.   0.   0.   0.   0.   0.   0.   0.  -0.1 -0.3]",False
8281,"[ 0.   0.   1.   1.   0.   0.   0.   1.   1.   0.   1.   0.   0.   0.
  1.   0.   0.   0.   0.   0.   0.   0.   0.   0.  -0.1 -0.3]",1,-2.118033988749895,"[ 0.   0.   0.   1.   1.   3.   0.   0.   1.   1.   0.   1.   0.   0.
  1.   1.   0.   0.   0.   0.   0.   0.   0.   0.  -0.1 -0.2]",False
8282,"[ 0.   0.   0.   1.   1.   3.   0.   0.   1.   1.   0.   1.   0.   0.
  1.   1.   0.   0.   0.   0.   0.   0.   0.   0.  -0.1 -0.2]",3,-2.0,"[ 0.   0.   1.   1.   0.   0.   0.   0.   1.   1.   3.   0.   1.   1.
  0.   1.   0.   0.   0.   1.   1.   0.   0.   0.   0.  -0.2]",False
8283,"[ 0.   0.   1.   1.   0.   0.   0.   0.   1.   1.   3.   0.   1.   1.
  0.   1.   0.   0.   0.   1.   1.   0.   0.   0.   0.  -0.2]",3,-2.118033988749895,"[ 0.   0.   0.   0.   0.   0.   0.   1.   1.   0.   0.   0.   1.   1.
  3.   0.   0.   1.   1.   0.   1.   0.   0.   0.   0.1 -0.2]",False
8284,"[ 0.   0.   0.   0.   0.   0.   0.   1.   1.   0.   0.   0.   1.   1.
  3.   0.   0.   1.   1.   0.   1.   0.   0.   0.   0.1 -0.2]",2,-1.5,"[ 0.   0.   0.   1.   1.   0.   0.   0.   0.   1.   0.   3.   0.   1.
  0.   0.   1.   0.   0.   0.   1.   1.   0.   0.   0.  -0.1]",False
8285,"[ 0.   0.   0.   1.   1.   0.   0.   0.   0.   1.   0.   3.   0.   1.
  0.   0.   1.   0.   0.   0.   1.   1.   0.   0.   0.  -0.1]",1,20,"[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0.
 0. 0.]",True
8286,"[ 1.   0.   0.   0.   0.   1.   0.   0.   0.   0.   1.   0.   0.   0.
  1.   1.   1.   1.   1.   1.   1.   1.   1.   1.  -0.7  0.8]",3,-6.0,"[ 1.   0.   0.   0.   0.   1.   0.   0.   0.   0.   1.   0.   0.   0.
  1.   0.   0.   0.   0.   1.   1.   1.   1.   1.  -0.6  0.8]",False
8287,"[ 1.   0.   0.   0.   0.   1.   0.   0.   0.   0.   1.   0.   0.   0.
  1.   0.   0.   0.   0.   1.   1.   1.   1.   1.  -0.6  0.8]",5,-5.301162633521313,"[ 0.   0.   0.   1.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  -0.5  0.7]",False
8288,"[ 0.   0.   0.   1.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  -0.5  0.7]",5,-4.60555127546399,"[ 0.   0.   1.   1.   1.   0.   0.   1.   0.   1.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  -0.4  0.6]",False
8289,"[ 0.   0.   1.   1.   1.   0.   0.   1.   0.   1.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  -0.4  0.6]",5,-3.9154759474226504,"[ 0.   0.   0.   0.   0.   0.   1.   1.   1.   0.   0.   1.   1.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  -0.3  0.5]",False
8290,"[ 0.   0.   0.   0.   0.   0.   1.   1.   1.   0.   0.   1.   1.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  -0.3  0.5]",6,-10,"[ 0.   0.   0.   0.   0.   0.   1.   1.   1.   0.   0.   1.   1.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  -0.3  0.4]",True
8291,"[ 0.   0.   0.   0.   0.   0.   0.   0.   0.   1.   0.   0.   0.   1.
  0.   0.   0.   0.   0.   0.   1.   1.   0.   0.  -0.1  0.4]",5,-2.5,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  1.
 1.  0.  0.  0.  0.  0.  0.  0.3]",False
8292,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  1.
 1.  0.  0.  0.  0.  0.  0.  0.3]",5,-2.118033988749895,"[1.  1.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.
 3.  0.  0.  1.  1.  0.  0.1 0.2]",False
8293,"[1.  1.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.
 3.  0.  0.  1.  1.  0.  0.1 0.2]",4,-10,"[1.  1.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.
 3.  0.  0.  1.  1.  0.  0.  0.2]",True
8294,"[1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  0.  0.  0.  3.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.2]",6,-1.5,"[1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  0.  0.  3.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.1]",False
8295,"[1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  0.  0.  3.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.1]",2,-2.118033988749895,"[ 1.   1.   1.   1.   1.   0.   0.   0.   0.   3.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  -0.1  0.2]",False
8296,"[ 1.   1.   1.   1.   1.   0.   0.   0.   0.   3.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  -0.1  0.2]",7,-2.118033988749895,"[ 0.   0.   0.   3.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   1.   1.   0.   0.   0.  -0.2  0.1]",False
8297,"[ 0.   0.   0.   3.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   1.   1.   0.   0.   0.  -0.2  0.1]",5,-1.5,"[ 1.   1.   1.   1.   1.   0.   0.   3.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  -0.1  0. ]",False
8298,"[ 1.   1.   1.   1.   1.   0.   0.   3.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  -0.1  0. ]",3,20,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]",True
8299,"[0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 0.  0.  0.  0.  0.  1.  0.  0.4]",5,-2.58113883008419,"[0.  0.  0.  1.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  1.  0.  0.  0.1 0.3]",False
