,observation,action,reward,next_observation,done
1680,"[1.  1.  0.  0.  0.  1.  1.  0.  0.  0.  1.  1.  2.  0.  1.  1.  3.  0.
 0.  1.  1.  0.  0.  0.  0.1 0. ]",4,25,"[1. 1. 0. 0. 0. 1. 1. 2. 0. 0. 1. 1. 0. 0. 1. 1. 0. 0. 0. 1. 1. 1. 1. 1.
 0. 0.]",True
1681,"[ 0.   1.   1.   0.   0.   0.   0.   1.   3.   2.   0.   0.   0.   0.
  1.   1.   1.   1.   1.   1.   1.   1.   1.   1.  -0.1  0.1]",5,25,"[0. 0. 0. 0. 1. 1. 1. 0. 0. 1. 0. 1. 2. 1. 0. 2. 0. 0. 1. 1. 1. 1. 1. 1.
 0. 0.]",True
1682,"[ 0.   0.   0.   1.   1.   1.   0.   0.   1.   1.   1.   3.   1.   1.
  2.   0.   0.   1.   1.   1.   1.   1.   1.   1.  -0.2 -0.5]",0,-3.0615528128088303,"[ 3.   1.   0.   0.   1.   0.   0.   0.   0.   1.   1.   1.   0.   1.
  0.   1.   3.   2.   1.   0.   2.   0.   0.   1.  -0.1 -0.4]",False
1683,"[ 1.   0.   0.   0.   0.   1.   0.   0.   0.   0.   1.   0.   0.   0.
  1.   0.   0.   0.   0.   1.   0.   0.   0.   0.  -0.1  0.5]",7,-3.23606797749979,"[ 0.   0.   0.   0.   0.   0.   2.   0.   0.   3.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  -0.2  0.4]",False
1684,"[ 3.   1.   0.   0.   1.   0.   0.   0.   0.   1.   1.   1.   0.   1.
  0.   1.   3.   2.   1.   0.   2.   0.   0.   1.  -0.1 -0.4]",0,-2.5,"[ 0.   1.   1.   0.   0.   0.   3.   1.   0.   0.   0.   0.   0.   0.
  0.   1.   1.   2.   0.   0.   0.   1.   3.   0.   0.  -0.3]",False
1685,"[ 0.   0.   0.   0.   0.   0.   2.   0.   0.   3.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  -0.2  0.4]",5,-2.58113883008419,"[ 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   3.   0.
  0.   2.   0.   0.   0.   0.   0.   0.   0.   0.  -0.1  0.3]",False
1686,"[ 0.   1.   1.   0.   0.   0.   3.   1.   0.   0.   0.   0.   0.   0.
  0.   1.   1.   2.   0.   0.   0.   1.   3.   0.   0.  -0.3]",0,-2.118033988749895,"[ 0.   1.   0.   0.   0.   0.   0.   1.   1.   0.   0.   0.   1.   0.
  3.   0.   0.   2.   0.   0.   0.   1.   1.   0.   0.1 -0.2]",False
1687,"[ 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   3.   0.
  0.   2.   0.   0.   0.   0.   0.   0.   0.   0.  -0.1  0.3]",5,-2.0,"[0.  0.  0.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  3.  0.  2.  3.  0.
 0.  0.  0.  0.  0.  1.  0.  0.2]",False
1688,"[ 0.   1.   0.   0.   0.   0.   0.   1.   1.   0.   0.   0.   1.   0.
  3.   0.   0.   2.   0.   0.   0.   1.   1.   0.   0.1 -0.2]",1,-1.7071067811865475,"[ 0.   0.   1.   0.   0.   0.   0.   0.   1.   1.   0.   2.   3.   1.
  0.   3.   0.   0.   0.   0.   0.   0.   1.   1.   0.1 -0.1]",False
1689,"[0.  0.  0.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  3.  0.  2.  3.  0.
 0.  0.  0.  0.  0.  1.  0.  0.2]",7,-1.7071067811865475,"[ 0.   0.   0.   1.   1.   0.   2.   0.   3.   1.   0.   3.   0.   0.
  0.   0.   0.   1.   1.   0.   0.   0.   0.   1.  -0.1  0.1]",False
1690,"[ 0.   0.   1.   0.   0.   0.   0.   0.   1.   1.   0.   2.   3.   1.
  0.   3.   0.   0.   0.   0.   0.   0.   1.   1.   0.1 -0.1]",2,25,"[0. 0. 0. 0. 1. 0. 0. 0. 2. 3. 0. 0. 2. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.
 0. 0.]",True
1691,"[ 0.   0.   0.   1.   1.   0.   2.   0.   3.   1.   0.   3.   0.   0.
  0.   0.   0.   1.   1.   0.   0.   0.   0.   1.  -0.1  0.1]",6,-1.5,"[ 0.   0.   1.   1.   0.   0.   2.   3.   1.   0.   3.   2.   0.   0.
  0.   0.   1.   1.   0.   0.   0.   0.   1.   3.  -0.1  0. ]",False
1692,"[ 0.   0.   1.   1.   0.   0.   2.   3.   1.   0.   3.   2.   0.   0.
  0.   0.   1.   1.   0.   0.   0.   0.   1.   3.  -0.1  0. ]",0,-1.5,"[0.  0.  1.  0.  0.  0.  0.  0.  1.  1.  0.  0.  3.  1.  0.  3.  0.  2.
 0.  0.  0.  0.  1.  1.  0.  0.1]",False
1693,"[0.  0.  1.  0.  0.  0.  0.  0.  1.  1.  0.  0.  3.  1.  0.  3.  0.  2.
 0.  0.  0.  0.  1.  1.  0.  0.1]",7,-1.5,"[ 0.   0.   1.   1.   0.   0.   2.   3.   1.   0.   3.   0.   0.   0.
  0.   0.   1.   1.   0.   0.   0.   0.   1.   3.  -0.1  0. ]",False
1694,"[ 0.   0.   1.   1.   0.   0.   2.   3.   1.   0.   3.   0.   0.   0.
  0.   0.   1.   1.   0.   0.   0.   0.   1.   3.  -0.1  0. ]",0,-1.5,"[0.  0.  1.  0.  0.  0.  0.  0.  1.  1.  0.  0.  3.  1.  0.  3.  0.  2.
 0.  0.  0.  0.  1.  1.  0.  0.1]",False
1695,"[0.  0.  1.  0.  0.  0.  0.  0.  1.  1.  0.  0.  3.  1.  0.  3.  0.  2.
 0.  0.  0.  0.  1.  1.  0.  0.1]",6,25,"[0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 2. 1. 0. 3. 0. 0. 0. 0. 0. 0. 1. 1. 0.
 0. 0.]",True
1696,"[1.  1.  0.  0.  0.  1.  1.  0.  0.  0.  1.  1.  0.  0.  1.  1.  0.  0.
 0.  1.  1.  0.  0.  0.  0.3 0.2]",0,-10,"[1.  1.  0.  0.  0.  1.  1.  0.  0.  0.  1.  1.  0.  0.  1.  1.  0.  0.
 0.  1.  1.  0.  0.  0.  0.3 0.2]",True
1697,"[1.  1.  0.  0.  0.  1.  1.  0.  0.  0.  1.  1.  0.  3.  1.  1.  3.  0.
 0.  1.  1.  0.  0.  0.  0.1 0. ]",4,25,"[1. 1. 0. 0. 0. 1. 1. 2. 0. 3. 1. 1. 0. 0. 1. 1. 0. 0. 0. 1. 1. 0. 0. 0.
 0. 0.]",True
1698,"[0.  0.  0.  0.  1.  0.  0.  0.  0.  1.  0.  0.  0.  1.  1.  0.  0.  0.
 1.  1.  0.  0.  0.  1.  0.3 0. ]",2,-2.118033988749895,"[0.  0.  0.  0.  0.  0.  0.  0.  2.  0.  0.  1.  0.  0.  1.  1.  0.  0.
 0.  1.  0.  0.  3.  0.  0.2 0.1]",False
1699,"[0.  0.  0.  0.  0.  0.  0.  0.  2.  0.  0.  1.  0.  0.  1.  1.  0.  0.
 0.  1.  0.  0.  3.  0.  0.2 0.1]",6,-2.0,"[0.  0.  0.  0.  1.  0.  0.  0.  0.  1.  1.  2.  0.  1.  1.  0.  0.  0.
 1.  0.  0.  3.  0.  1.  0.2 0. ]",False
1700,"[0.  0.  0.  0.  1.  0.  0.  0.  0.  1.  1.  2.  0.  1.  1.  0.  0.  0.
 1.  0.  0.  3.  0.  1.  0.2 0. ]",2,-1.7071067811865475,"[0.  0.  0.  0.  0.  0.  1.  0.  2.  0.  1.  1.  0.  0.  1.  0.  0.  3.
 0.  0.  0.  0.  0.  0.  0.1 0.1]",False
1701,"[0.  0.  0.  0.  0.  0.  1.  0.  2.  0.  1.  1.  0.  0.  1.  0.  0.  3.
 0.  0.  0.  0.  0.  0.  0.1 0.1]",7,25,"[1. 0. 0. 0. 1. 1. 2. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1.
 0. 0.]",True
1702,"[1.  1.  1.  1.  1.  0.  0.  0.  0.  0.  2.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.3 0.1]",7,-2.0,"[0.  0.  0.  0.  1.  0.  2.  0.  0.  1.  0.  0.  0.  1.  0.  0.  0.  0.
 1.  0.  0.  3.  0.  1.  0.2 0. ]",False
1703,"[ 1.   1.   1.   1.   1.   1.   1.   1.   1.   1.   0.   0.   0.   0.
  0.   0.   0.   2.   0.   0.   0.   0.   0.   0.   0.4 -0.2]",2,-2.58113883008419,"[ 1.   1.   1.   1.   1.   0.   0.   0.   2.   0.   0.   0.   0.   2.
  3.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.3 -0.1]",False
1704,"[ 1.   1.   1.   1.   1.   0.   2.   0.   0.   0.   0.   0.   0.   2.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.1 -0.4]",2,-2.5,"[ 0.   0.   2.   0.   0.   0.   0.   0.   2.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   3.   0.   0.   0.   0.   0.  -0.3]",False
1705,"[0.  0.  0.  0.  1.  0.  2.  0.  0.  1.  0.  0.  0.  1.  0.  0.  0.  0.
 1.  0.  0.  3.  0.  1.  0.2 0. ]",2,-1.7071067811865475,"[0.  0.  0.  0.  0.  0.  0.  0.  2.  0.  0.  0.  0.  0.  0.  0.  0.  3.
 0.  0.  0.  0.  0.  0.  0.1 0.1]",False
1706,"[ 1.   1.   1.   1.   1.   0.   0.   0.   2.   0.   0.   0.   0.   2.
  3.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.3 -0.1]",2,-2.0,"[0.  0.  0.  0.  0.  0.  0.  0.  2.  0.  0.  3.  0.  2.  0.  0.  0.  0.
 0.  0.  0.  3.  0.  0.  0.2 0. ]",False
1707,"[ 0.   0.   2.   0.   0.   0.   0.   0.   2.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   3.   0.   0.   0.   0.   0.  -0.3]",0,-10,"[ 0.   0.   0.   0.   0.   0.   2.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   3.   0.   0.   0.   0.   0.  -0.3]",True
1708,"[0.  0.  0.  0.  0.  0.  0.  0.  2.  0.  0.  0.  0.  0.  0.  0.  0.  3.
 0.  0.  0.  0.  0.  0.  0.1 0.1]",7,25,"[0. 0. 0. 0. 1. 0. 2. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1.
 0. 0.]",True
1709,"[0.  0.  0.  0.  0.  0.  0.  0.  2.  0.  0.  3.  0.  2.  0.  0.  0.  0.
 0.  0.  0.  3.  0.  0.  0.2 0. ]",7,-1.7071067811865475,"[ 0.   0.   0.   0.   0.   3.   2.   0.   2.   0.   0.   0.   0.   0.
  0.   3.   0.   0.   0.   0.   0.   0.   0.   0.   0.1 -0.1]",False
1710,"[ 0.   0.   0.   0.   0.   3.   2.   0.   2.   0.   0.   0.   0.   0.
  0.   3.   0.   0.   0.   0.   0.   0.   0.   0.   0.1 -0.1]",2,25,"[0. 3. 0. 0. 2. 0. 0. 0. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]",True
1711,"[ 0.   1.   1.   0.   0.   0.   0.   0.   0.   0.   1.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  -0.5 -0.2]",0,-3.0615528128088303,"[ 0.   0.   1.   1.   0.   0.   0.   1.   1.   0.   0.   0.   0.   0.
  1.   1.   0.   2.   0.   1.   0.   0.   0.   0.  -0.4 -0.1]",False
1712,"[1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  3.  2.  0.  0.  0.3 0.1]",7,-2.0,"[1.  1.  1.  1.  1.  0.  2.  0.  0.  0.  0.  0.  0.  0.  3.  2.  0.  0.
 1.  0.  0.  3.  0.  1.  0.2 0. ]",False
1713,"[0.  0.  2.  0.  0.  0.  0.  0.  0.  0.  0.  3.  0.  0.  0.  0.  0.  3.
 0.  0.  0.  1.  1.  0.  0.2 0.5]",5,-3.5,"[1.  1.  1.  1.  1.  0.  2.  0.  0.  0.  0.  0.  0.  0.  3.  2.  0.  0.
 1.  0.  0.  3.  0.  1.  0.3 0.4]",False
1714,"[ 0.   0.   1.   1.   0.   0.   0.   1.   1.   0.   0.   0.   0.   0.
  1.   1.   0.   2.   0.   1.   0.   0.   0.   0.  -0.4 -0.1]",0,-2.5,"[ 0.   0.   0.   0.   3.   0.   0.   0.   1.   1.   0.   0.   1.   1.
  0.   0.   0.   2.   0.   0.   1.   1.   0.   0.  -0.3  0. ]",False
1715,"[1.  1.  1.  1.  1.  0.  2.  0.  0.  0.  0.  0.  0.  0.  3.  2.  0.  0.
 1.  0.  0.  3.  0.  1.  0.2 0. ]",4,-1.5,"[0.  0.  0.  0.  0.  0.  0.  2.  0.  0.  3.  0.  0.  1.  0.  0.  3.  0.
 1.  0.  1.  1.  0.  0.  0.1 0. ]",False
1716,"[1.  1.  1.  1.  1.  0.  2.  0.  0.  0.  0.  0.  0.  0.  3.  2.  0.  0.
 1.  0.  0.  3.  0.  1.  0.3 0.4]",7,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  2.  0.  0.  0.  0.  0.  1.  1.  0.  3.  0.  1.
 0.  1.  1.  0.  0.  0.  0.2 0.3]",False
1717,"[ 0.   0.   0.   0.   3.   0.   0.   0.   1.   1.   0.   0.   1.   1.
  0.   0.   0.   2.   0.   0.   1.   1.   0.   0.  -0.3  0. ]",0,-2.118033988749895,"[ 0.   0.   0.   3.   0.   0.   0.   0.   0.   0.   0.   0.   0.   1.
  0.   0.   0.   2.   1.   0.   0.   0.   0.   0.  -0.2  0.1]",False
1718,"[0.  0.  0.  0.  0.  0.  0.  2.  0.  0.  3.  0.  0.  1.  0.  0.  3.  0.
 1.  0.  1.  1.  0.  0.  0.1 0. ]",7,-1.5,"[ 0.   0.   0.   0.   0.   0.   2.   2.   1.   1.   0.   3.   1.   0.
  1.   1.   0.   0.   0.   1.   1.   0.   0.   0.   0.  -0.1]",False
1719,"[0.  0.  0.  0.  0.  0.  2.  0.  0.  0.  0.  0.  1.  1.  0.  3.  0.  1.
 0.  1.  1.  0.  0.  0.  0.2 0.3]",2,-3.0615528128088303,"[0.  0.  0.  0.  0.  3.  0.  2.  2.  1.  0.  0.  0.  1.  0.  1.  1.  0.
 0.  2.  1.  1.  0.  0.  0.1 0.4]",False
1720,"[ 0.   0.   0.   3.   0.   0.   0.   0.   0.   0.   0.   0.   0.   1.
  0.   0.   0.   2.   1.   0.   0.   0.   0.   0.  -0.2  0.1]",3,-1.7071067811865475,"[ 0.   0.   0.   0.   0.   0.   0.   0.   3.   0.   0.   0.   0.   0.
  0.   0.   2.   0.   1.   0.   0.   0.   0.   1.  -0.1  0.1]",False
1721,"[ 0.   0.   0.   0.   0.   0.   2.   2.   1.   1.   0.   3.   1.   0.
  1.   1.   0.   0.   0.   1.   1.   0.   0.   0.   0.  -0.1]",0,-1.5,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  3.  0.  0.  1.  0.  0.  2.  2.
 1.  0.  1.  1.  0.  0.  0.1 0. ]",False
1722,"[0.  0.  0.  0.  0.  3.  0.  2.  2.  1.  0.  0.  0.  1.  0.  1.  1.  0.
 0.  2.  1.  1.  0.  0.  0.1 0.4]",7,-2.5,"[0.  0.  0.  1.  1.  0.  2.  2.  1.  0.  1.  1.  0.  0.  1.  1.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.3]",False
1723,"[ 0.   0.   0.   0.   0.   0.   0.   0.   3.   0.   0.   0.   0.   0.
  0.   0.   2.   0.   1.   0.   0.   0.   0.   1.  -0.1  0.1]",3,-1.5,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  3.  0.  0.  0.  2.  0.
 0.  0.  0.  0.  0.  1.  0.  0.1]",False
1724,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  3.  0.  0.  1.  0.  0.  2.  2.
 1.  0.  1.  1.  0.  0.  0.1 0. ]",7,-1.5,"[ 0.   0.   0.   0.   0.   0.   2.   0.   1.   1.   0.   3.   1.   0.
  1.   1.   2.   0.   0.   1.   1.   0.   0.   0.   0.  -0.1]",False
1725,"[0.  0.  0.  1.  1.  0.  2.  2.  1.  0.  1.  1.  0.  0.  1.  1.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.3]",7,-2.118033988749895,"[ 3.   0.   1.   0.   0.   1.   2.   0.   0.   3.   1.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  -0.1  0.2]",False
1726,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  3.  0.  0.  0.  2.  0.
 0.  0.  0.  0.  0.  1.  0.  0.1]",7,-1.5,"[ 0.   0.   0.   0.   0.   0.   2.   3.   0.   0.   0.   0.   0.   3.
  0.   0.   0.   1.   1.   0.   0.   0.   1.   1.  -0.1  0. ]",False
1727,"[ 0.   0.   0.   0.   0.   0.   2.   0.   1.   1.   0.   3.   1.   0.
  1.   1.   2.   0.   0.   1.   1.   0.   0.   0.   0.  -0.1]",1,25,"[0. 0. 0. 0. 0. 3. 0. 0. 0. 1. 0. 0. 2. 1. 0. 1. 1. 0. 0. 0. 1. 1. 0. 2.
 0. 0.]",True
1728,"[ 3.   0.   1.   0.   0.   1.   2.   0.   0.   3.   1.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  -0.1  0.2]",5,-1.5,"[0.  1.  1.  0.  1.  2.  1.  0.  0.  1.  0.  0.  3.  1.  0.  2.  0.  0.
 1.  0.  0.  0.  0.  1.  0.  0.1]",False
1729,"[ 0.   0.   0.   0.   0.   0.   2.   3.   0.   0.   0.   0.   0.   3.
  0.   0.   0.   1.   1.   0.   0.   0.   1.   1.  -0.1  0. ]",3,25,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2. 0. 3. 0. 0. 0. 1. 1.
 0. 0.]",True
1730,"[0.  1.  1.  0.  1.  2.  1.  0.  0.  1.  0.  0.  3.  1.  0.  2.  0.  0.
 1.  0.  0.  0.  0.  1.  0.  0.1]",6,25,"[1. 1. 0. 1. 1. 1. 0. 0. 1. 1. 0. 2. 1. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1. 1.
 0. 0.]",True
1731,"[ 1.   1.   1.   3.   1.   0.   0.   0.   0.   1.   0.   0.   0.   1.
  0.   0.   0.   0.   1.   1.   1.   1.   1.   1.  -0.1 -0.5]",0,-3.0,"[ 1.   1.   1.   1.   0.   1.   1.   1.   1.   3.   0.   0.   0.   0.
  0.   0.   0.   2.   0.   0.   0.   0.   0.   0.   0.  -0.4]",False
1732,"[0.  0.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  1.  0.3 0.6]",7,-3.692582403567252,"[0.  0.  0.  0.  0.  0.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  0.  0.  1.  1.  0.2 0.5]",False
1733,"[1.  1.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  2.  0.  0.  0.2 0.4]",7,-2.58113883008419,"[0.  0.  0.  0.  0.  0.  2.  0.  0.  0.  0.  0.  0.  0.  0.  2.  0.  0.
 0.  0.  0.  0.  0.  0.  0.1 0.3]",False
1734,"[ 1.   1.   1.   1.   0.   1.   1.   1.   1.   3.   0.   0.   0.   0.
  0.   0.   0.   2.   0.   0.   0.   0.   0.   0.   0.  -0.4]",2,-2.58113883008419,"[ 0.   1.   1.   1.   1.   1.   0.   0.   2.   0.   1.   0.   0.   0.
  0.   0.   0.   0.   0.   1.   1.   1.   1.   1.  -0.1 -0.3]",False
1735,"[0.  0.  0.  0.  0.  0.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  0.  0.  1.  1.  0.2 0.5]",5,-3.5,"[0.  0.  0.  0.  0.  0.  2.  0.  0.  0.  0.  0.  0.  3.  0.  2.  0.  0.
 0.  0.  0.  1.  1.  1.  0.3 0.4]",False
1736,"[0.  0.  0.  0.  0.  0.  2.  0.  0.  0.  0.  0.  0.  0.  0.  2.  0.  0.
 0.  0.  0.  0.  0.  0.  0.1 0.3]",7,-2.0,"[0.  0.  0.  0.  0.  0.  2.  0.  0.  0.  0.  0.  0.  3.  0.  2.  0.  0.
 0.  0.  0.  1.  1.  1.  0.  0.2]",False
1737,"[ 0.   1.   1.   1.   1.   1.   0.   0.   2.   0.   1.   0.   0.   0.
  0.   0.   0.   0.   0.   1.   1.   1.   1.   1.  -0.1 -0.3]",0,-2.0,"[ 0.   0.   1.   1.   1.   0.   0.   1.   1.   1.   3.   1.   0.   0.
  1.   1.   0.   2.   0.   0.   0.   0.   0.   0.   0.  -0.2]",False
